Team Name,Top32,Top16,Top8,Top4,Top2,Top1
Duke&y=2019,0.98,0.92,0.82,0.57,0.38,0.25
Virginia&y=2019,0.99,0.92,0.72,0.54,0.41,0.2
Gonzaga&y=2019,1.0,0.95,0.86,0.47,0.25,0.14
Michigan+St.&y=2019,0.98,0.82,0.73,0.3,0.15,0.11
Texas+Tech&y=2019,1.0,0.84,0.58,0.36,0.15,0.1
North+Carolina&y=2019,1.0,0.97,0.57,0.38,0.17,0.07
Kentucky&y=2019,1.0,0.9,0.64,0.34,0.22,0.03
Kansas&y=2019,0.99,0.44,0.19,0.1,0.05,0.03
Purdue&y=2019,1.0,0.77,0.44,0.16,0.05,0.02
Auburn&y=2019,0.76,0.47,0.24,0.07,0.04,0.02
Tennessee&y=2019,0.98,0.75,0.42,0.15,0.02,0.01
Virginia+Tech&y=2019,0.93,0.58,0.11,0.03,0.02,0.01
LSU&y=2019,0.95,0.55,0.11,0.04,0.01,0.01
Kansas+St.&y=2019,0.82,0.46,0.11,0.04,0.03,0.0
Michigan&y=2019,0.97,0.76,0.33,0.1,0.02,0.0
Houston&y=2019,0.99,0.47,0.18,0.06,0.01,0.0
Florida+St.&y=2019,0.9,0.61,0.1,0.05,0.01,0.0
UCF&y=2019,0.57,0.03,0.01,0.01,0.01,0.0
Iowa+St.&y=2019,0.8,0.5,0.15,0.05,0.0,0.0
Mississippi+St.&y=2019,0.8,0.4,0.06,0.04,0.0,0.0
Wisconsin&y=2019,0.59,0.39,0.08,0.03,0.0,0.0
Cincinnati&y=2019,0.47,0.14,0.03,0.03,0.0,0.0
Oklahoma&y=2019,0.62,0.06,0.04,0.02,0.0,0.0
Louisville&y=2019,0.79,0.17,0.08,0.01,0.0,0.0
Nevada&y=2019,0.38,0.09,0.02,0.01,0.0,0.0
Florida&y=2019,0.62,0.14,0.04,0.01,0.0,0.0
Mississippi&y=2019,0.38,0.02,0.01,0.01,0.0,0.0
Oregon&y=2019,0.41,0.15,0.04,0.01,0.0,0.0
Iowa&y=2019,0.53,0.11,0.04,0.01,0.0,0.0
North+Dakota+St.&y=2019,0.02,0.0,0.0,0.0,0.0,0.0
VCU&y=2019,0.43,0.05,0.0,0.0,0.0,0.0
Liberty&y=2019,0.2,0.02,0.0,0.0,0.0,0.0
Saint+Louis&y=2019,0.07,0.0,0.0,0.0,0.0,0.0
Maryland&y=2019,0.83,0.41,0.07,0.0,0.0,0.0
Temple&y=2019,0.17,0.02,0.0,0.0,0.0,0.0
Yale&y=2019,0.05,0.02,0.0,0.0,0.0,0.0
Minnesota&y=2019,0.21,0.01,0.01,0.0,0.0,0.0
Bradley&y=2019,0.02,0.0,0.0,0.0,0.0,0.0
Fairleigh+Dickinson&y=2019,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse&y=2019,0.28,0.01,0.01,0.0,0.0,0.0
Baylor&y=2019,0.72,0.04,0.02,0.0,0.0,0.0
Marquette&y=2019,0.48,0.26,0.01,0.0,0.0,0.0
Murray+St.&y=2019,0.52,0.11,0.0,0.0,0.0,0.0
Vermont&y=2019,0.1,0.02,0.0,0.0,0.0,0.0
Buffalo&y=2019,0.87,0.15,0.03,0.0,0.0,0.0
Arizona+St.&y=2019,0.13,0.01,0.0,0.0,0.0,0.0
Northern+Kentucky&y=2019,0.0,0.0,0.0,0.0,0.0,0.0
Montana&y=2019,0.03,0.01,0.0,0.0,0.0,0.0
Gardner+Webb&y=2019,0.01,0.0,0.0,0.0,0.0,0.0
UC+Irvine&y=2019,0.18,0.0,0.0,0.0,0.0,0.0
Villanova&y=2019,0.59,0.11,0.03,0.0,0.0,0.0
Saint+Mary%27s&y=2019,0.41,0.12,0.04,0.0,0.0,0.0
Old+Dominion&y=2019,0.0,0.0,0.0,0.0,0.0,0.0
Colgate&y=2019,0.02,0.0,0.0,0.0,0.0,0.0
Iona&y=2019,0.0,0.0,0.0,0.0,0.0,0.0
Utah+St.&y=2019,0.3,0.01,0.0,0.0,0.0,0.0
Washington&y=2019,0.7,0.02,0.0,0.0,0.0,0.0
New+Mexico+St.&y=2019,0.24,0.09,0.0,0.0,0.0,0.0
Northeastern&y=2019,0.01,0.0,0.0,0.0,0.0,0.0
Ohio+St.&y=2019,0.2,0.03,0.0,0.0,0.0,0.0
Georgia+St.&y=2019,0.01,0.0,0.0,0.0,0.0,0.0
Wofford&y=2019,0.63,0.07,0.03,0.0,0.0,0.0
Seton+Hall&y=2019,0.37,0.03,0.0,0.0,0.0,0.0
Abilene+Christian&y=2019,0.0,0.0,0.0,0.0,0.0,0.0
